               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.054828,            0.039474,            0.022841,             0.74433,             0.29286,             0.35312,             0.16865,            0.052895,            0.023085,            0.025164,            0.002476,            0.002476,            0.002476
                  78,            0.054623,            0.038716,            0.022321,             0.74568,             0.30443,             0.39184,             0.17109,            0.051572,            0.022897,            0.023766,            0.002377,            0.002377,            0.002377
                  79,            0.055405,            0.037668,            0.021778,             0.57979,             0.36984,             0.35432,             0.16782,            0.054234,            0.023214,            0.025017,            0.002278,            0.002278,            0.002278
                  80,            0.055203,            0.037336,            0.022224,             0.52453,             0.38799,             0.38878,             0.18512,            0.051601,            0.022985,            0.022939,            0.002179,            0.002179,            0.002179
                  81,            0.054722,            0.038774,            0.021537,             0.49918,             0.39356,             0.34379,             0.15714,            0.055458,            0.023456,            0.024706,             0.00208,             0.00208,             0.00208
                  82,            0.054845,            0.038722,            0.021386,             0.49171,             0.43461,             0.37861,             0.16125,            0.051734,            0.023154,            0.022682,            0.001981,            0.001981,            0.001981
                  83,            0.054085,            0.040548,            0.021373,               0.534,             0.39342,             0.37365,             0.17379,            0.050903,            0.023115,             0.02316,            0.001882,            0.001882,            0.001882
                  84,            0.054852,            0.037927,            0.022466,              0.8379,             0.30491,             0.38732,              0.1747,            0.051719,            0.022672,            0.022287,            0.001783,            0.001783,            0.001783
                  85,            0.054086,             0.03935,            0.021895,             0.54642,             0.38431,             0.38684,             0.17442,            0.051369,            0.022548,            0.023124,            0.001684,            0.001684,            0.001684
                  86,            0.054085,            0.038565,            0.021634,             0.54906,             0.39023,             0.34739,             0.16054,            0.053265,            0.022755,            0.023626,            0.001585,            0.001585,            0.001585
                  87,            0.052942,            0.034361,              0.0217,             0.56211,             0.38414,               0.382,             0.18114,             0.05155,            0.022568,            0.022942,            0.001486,            0.001486,            0.001486
                  88,            0.054075,            0.036895,            0.022224,             0.77256,             0.29325,             0.38129,             0.17432,            0.051568,             0.02246,            0.022765,            0.001387,            0.001387,            0.001387
                  89,            0.053134,             0.03891,            0.021243,             0.58452,             0.39725,             0.41555,              0.1937,            0.050703,            0.022823,            0.022081,            0.001288,            0.001288,            0.001288
                  90,            0.054027,             0.03587,            0.021822,             0.59875,             0.39341,             0.40063,             0.18502,            0.051495,            0.022839,             0.02262,            0.001189,            0.001189,            0.001189
                  91,              0.0543,            0.039548,             0.02151,              0.6125,              0.3677,             0.42428,             0.19371,            0.050639,            0.022568,            0.021165,             0.00109,             0.00109,             0.00109
                  92,            0.053354,            0.037646,            0.020952,             0.64065,               0.379,             0.42186,             0.19569,            0.051551,            0.022414,            0.021763,            0.000991,            0.000991,            0.000991
                  93,            0.053663,             0.03667,            0.020816,             0.80846,             0.34979,             0.40543,              0.1917,             0.05184,            0.022395,             0.02233,            0.000892,            0.000892,            0.000892
                  94,            0.053336,            0.040156,            0.020677,             0.82438,             0.34332,             0.42742,             0.19107,            0.050351,            0.022799,            0.022324,            0.000793,            0.000793,            0.000793
                  95,            0.052491,            0.037079,            0.020917,             0.29949,             0.48437,             0.43332,             0.19008,            0.050214,            0.022539,              0.0219,            0.000694,            0.000694,            0.000694
                  96,            0.052915,            0.038566,            0.020906,             0.62977,             0.39979,             0.44741,             0.19536,            0.050524,            0.022628,            0.022151,            0.000595,            0.000595,            0.000595
                  97,            0.052544,            0.038235,            0.021603,             0.70963,             0.37773,             0.42475,             0.20458,            0.051676,             0.02234,             0.02254,            0.000496,            0.000496,            0.000496
                  98,            0.052671,            0.038762,            0.020054,             0.65548,             0.37308,             0.43617,             0.20253,            0.050615,            0.022227,            0.021949,            0.000397,            0.000397,            0.000397
                  99,            0.052192,            0.036547,            0.020234,             0.71965,             0.37089,             0.43228,             0.20222,            0.050394,             0.02231,            0.021842,            0.000298,            0.000298,            0.000298
